,code,name,project_name,countryname
329,6,Social protection and risk management,China: Guangdong Social Security Integration and Rural Worker Training,People's Republic of China
330,6,Social protection and risk management,China: Guangdong Social Security Integration and Rural Worker Training,People's Republic of China
331,4,Financial and private sector development,Anhui Xuancheng Infrastructure for Industry Relocation,People's Republic of China
332,2,,Anhui Xuancheng Infrastructure for Industry Relocation,People's Republic of China
333,9,,China: Nanchang Urban Rail Project,People's Republic of China
334,6,Social protection and risk management,Tamil Nadu and Puducherry Coastal Disaster Risk Reduction Project,Republic of India
335,10,Rural development,Tamil Nadu and Puducherry Coastal Disaster Risk Reduction Project,Republic of India
336,10,Rural development,Tamil Nadu and Puducherry Coastal Disaster Risk Reduction Project,Republic of India
337,10,Rural development,HN RURAL INFRASTRUCTURE PROJECT (AF),Republic of Honduras
338,11,Environment and natural resources management,HN RURAL INFRASTRUCTURE PROJECT (AF),Republic of Honduras
339,2,Public sector governance,HN RURAL INFRASTRUCTURE PROJECT (AF),Republic of Honduras
340,2,Public sector governance,HN AF WSS Modernization,Republic of Honduras
341,9,Urban development,HN AF WSS Modernization,Republic of Honduras
342,6,Social protection and risk management,Kenya Water Security and Climate Resilience Project,Republic of Kenya
343,11,Environment and natural resources management,Kenya Water Security and Climate Resilience Project,Republic of Kenya
344,10,Rural development,Kenya Water Security and Climate Resilience Project,Republic of Kenya
345,2,Public sector governance,Mali RRSC,Republic of Mali
346,2,Public sector governance,Mali RRSC,Republic of Mali
347,6,Social protection and risk management,Mali RRSC,Republic of Mali
348,10,Rural development,Mali RRSC,Republic of Mali
349,2,Public sector governance,Economic Reconstruction and Growth Development Policy Credit,Republic of Haiti
350,2,Public sector governance,Economic Reconstruction and Growth Development Policy Credit,Republic of Haiti
351,2,Public sector governance,Economic Reconstruction and Growth Development Policy Credit,Republic of Haiti
352,2,Public sector governance,Local Government Development Program,Islamic Republic of Mauritania
353,10,Rural development,Local Government Development Program,Islamic Republic of Mauritania
354,9,Urban development,Local Government Development Program,Islamic Republic of Mauritania
355,2,Public sector governance,Local Government Development Program,Islamic Republic of Mauritania
356,9,Urban development,Local Government Development Program,Islamic Republic of Mauritania
357,1,Economic management,Development Policy Loan 2,Republic of Poland
358,2,Public sector governance,Development Policy Loan 2,Republic of Poland
359,3,Rule of law,Development Policy Loan 2,Republic of Poland
360,6,Social protection and risk management,Development Policy Loan 2,Republic of Poland
361,6,Social protection and risk management,Development Policy Loan 2,Republic of Poland
362,4,Financial and private sector development,CI - 27  Gas Field Expansion,Republic of Cote d'Ivoire
363,1,,CI - 27  Gas Field Expansion,Republic of Cote d'Ivoire
364,4,Financial and private sector development,MNXTA: Enhancing Microfinance Amongst Women and Youth in MENA,Middle East and North Africa
365,7,,MNXTA: Enhancing Microfinance Amongst Women and Youth in MENA,Middle East and North Africa
366,6,Social protection and risk management,Belo Horizonte Urban Development Policy Loan,Federative Republic of Brazil
367,2,Public sector governance,Belo Horizonte Urban Development Policy Loan,Federative Republic of Brazil
368,11,Environment and natural resources management,Belo Horizonte Urban Development Policy Loan,Federative Republic of Brazil
369,9,Urban development,Belo Horizonte Urban Development Policy Loan,Federative Republic of Brazil
370,2,Public sector governance,Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project,Federative Republic of Brazil
371,8,Human development,Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project,Federative Republic of Brazil
372,2,Public sector governance,Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project,Federative Republic of Brazil
373,8,Human development,Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project,Federative Republic of Brazil
374,11,Environment and natural resources management,Rio de Janeiro Strengthening Public Sector Management Technical Assistance Project,Federative Republic of Brazil
375,11,Environment and natural resources management,Sao Paulo State Sustainable Transport Project,Federative Republic of Brazil
376,5,Trade and integration,Sao Paulo State Sustainable Transport Project,Federative Republic of Brazil
377,11,Environment and natural resources management,Sao Paulo State Sustainable Transport Project,Federative Republic of Brazil
378,4,Financial and private sector development,Sao Paulo State Sustainable Transport Project,Federative Republic of Brazil
379,6,Social protection and risk management,Sao Paulo State Sustainable Transport Project,Federative Republic of Brazil
380,2,Public sector governance,"Albania MDTF for Extractive Industry Transparency Initiative (EITI), Implementation Support, Phase III",Republic of Albania
381,7,Social dev/gender/inclusion,"Albania MDTF for Extractive Industry Transparency Initiative (EITI), Implementation Support, Phase III",Republic of Albania
382,2,Public sector governance,"Albania MDTF for Extractive Industry Transparency Initiative (EITI), Implementation Support, Phase III",Republic of Albania
383,2,Public sector governance,"Albania MDTF for Extractive Industry Transparency Initiative (EITI), Implementation Support, Phase III",Republic of Albania
384,6,Social protection and risk management,Afghanistan: Safety Nets and Pensions Support Project - AF,Islamic State of Afghanistan
385,6,Social protection and risk management,Afghanistan: Safety Nets and Pensions Support Project - AF,Islamic State of Afghanistan
386,8,Human development,Senegal Quality and Equity of Basic Education,Republic of Senegal
387,8,Human development,Senegal Quality and Equity of Basic Education,Republic of Senegal
388,2,Public sector governance,Indonesia Phase II: EITI Implementation,Republic of Indonesia
389,11,,Indonesia Phase II: EITI Implementation,Republic of Indonesia
390,4,Financial and private sector development,Energy Sector Development Project,Republic of Vanuatu
391,10,,Energy Sector Development Project,Republic of Vanuatu
392,10,Rural development,Dem Rep Congo - Western Growth Poles,Democratic Republic of the Congo
393,5,Trade and integration,Dem Rep Congo - Western Growth Poles,Democratic Republic of the Congo
394,4,Financial and private sector development,Dem Rep Congo - Western Growth Poles,Democratic Republic of the Congo
395,4,Financial and private sector development,Dem Rep Congo - Western Growth Poles,Democratic Republic of the Congo
396,5,Trade and integration,Dem Rep Congo - Western Growth Poles,Democratic Republic of the Congo
397,5,Trade and integration,DRC-Multi-Modal Transp Additional Financing,Democratic Republic of the Congo
398,4,Financial and private sector development,DRC-Multi-Modal Transp Additional Financing,Democratic Republic of the Congo
399,4,Financial and private sector development,DRC-Multi-Modal Transp Additional Financing,Democratic Republic of the Congo
400,2,Public sector governance,DRC-Multi-Modal Transp Additional Financing,Democratic Republic of the Congo
401,6,Social protection and risk management,Cameroon Flood Emergency Project,Republic of Cameroon
402,10,Rural development,Cameroon Flood Emergency Project,Republic of Cameroon
403,11,Environment and natural resources management,Cameroon Flood Emergency Project,Republic of Cameroon
404,2,Public sector governance,MNXTA: Yemen Enhancing Governance through Procurement,Republic of Yemen
405,4,,MNXTA: Yemen Enhancing Governance through Procurement,Republic of Yemen
406,4,Financial and private sector development,SME Revitalization and Employment Pilot Project,Republic of Yemen
407,11,,SME Revitalization and Employment Pilot Project,Republic of Yemen
408,11,Environment and natural resources management,Sustainable Land Management Project,Republic of Chile
409,7,Social dev/gender/inclusion,Sustainable Land Management Project,Republic of Chile
410,11,Environment and natural resources management,Sustainable Land Management Project,Republic of Chile
411,11,Environment and natural resources management,Sustainable Land Management Project,Republic of Chile
412,11,Environment and natural resources management,GH-GAMA Sanitation and Water Project,Republic of Ghana
413,8,Human development,GH-GAMA Sanitation and Water Project,Republic of Ghana
414,9,Urban development,GH-GAMA Sanitation and Water Project,Republic of Ghana
415,3,Rule of law,Competitiveness and Savings Development Policy Loan (CSDPL),Republic of Turkey
416,5,Trade and integration,Competitiveness and Savings Development Policy Loan (CSDPL),Republic of Turkey
417,4,Financial and private sector development,Competitiveness and Savings Development Policy Loan (CSDPL),Republic of Turkey
418,6,Social protection and risk management,Competitiveness and Savings Development Policy Loan (CSDPL),Republic of Turkey
419,11,Environment and natural resources management,Natural Resources and Environmental Governance Technical Assistance,Republic of Ghana
420,2,Public sector governance,Natural Resources and Environmental Governance Technical Assistance,Republic of Ghana
421,11,Environment and natural resources management,Natural Resources and Environmental Governance Technical Assistance,Republic of Ghana
422,11,Environment and natural resources management,Natural Resources and Environmental Governance Technical Assistance,Republic of Ghana
423,11,Environment and natural resources management,Additional Financing Belarus Energy Efficiency Project,Republic of Belarus
424,10,,Additional Financing Belarus Energy Efficiency Project,Republic of Belarus
425,4,Financial and private sector development,Competitive Industries Project for Khyber Pakhtunkhwa,Islamic Republic of Pakistan
426,7,Social dev/gender/inclusion,Competitive Industries Project for Khyber Pakhtunkhwa,Islamic Republic of Pakistan
427,4,Financial and private sector development,Competitive Industries Project for Khyber Pakhtunkhwa,Islamic Republic of Pakistan
428,6,Social protection and risk management,Public and Social Sector Transformation Project (PSST),Antigua and Barbuda
429,6,Social protection and risk management,Public and Social Sector Transformation Project (PSST),Antigua and Barbuda
430,6,Social protection and risk management,Public and Social Sector Transformation Project (PSST),Antigua and Barbuda
431,2,Public sector governance,Public and Social Sector Transformation Project (PSST),Antigua and Barbuda
432,11,Environment and natural resources management,DJ Geothermal Power Generation Project,Republic of Djibouti
433,8,,DJ Geothermal Power Generation Project,Republic of Djibouti
434,11,Environment and natural resources management,DJ (GEF) Geothermal Power Generation Program,Republic of Djibouti
435,10,,DJ (GEF) Geothermal Power Generation Program,Republic of Djibouti
436,6,Social protection and risk management,Second Additional Financing for the Poverty Alleviation FundII Project,Nepal
437,10,Rural development,Second Additional Financing for the Poverty Alleviation FundII Project,Nepal
438,10,Rural development,Second Additional Financing for the Poverty Alleviation FundII Project,Nepal
439,7,Social dev/gender/inclusion,Second Additional Financing for the Poverty Alleviation FundII Project,Nepal
440,10,Rural development,Mongolia Livestock and Agricultural Marketing Project,Mongolia
441,7,Social dev/gender/inclusion,Mongolia Livestock and Agricultural Marketing Project,Mongolia
442,4,Financial and private sector development,Mongolia Livestock and Agricultural Marketing Project,Mongolia
443,11,Environment and natural resources management,Mongolia Livestock and Agricultural Marketing Project,Mongolia
444,10,Rural development,Mongolia Livestock and Agricultural Marketing Project,Mongolia
445,11,Environment and natural resources management,Ma'anshan Cihu River Basin Improvement Project,People's Republic of China
446,11,,Ma'anshan Cihu River Basin Improvement Project,People's Republic of China
447,9,Urban development,Emergency Infrastructure Rehabilitation & Energy Project - Additional Financing,Republic of Togo
448,4,Financial and private sector development,Emergency Infrastructure Rehabilitation & Energy Project - Additional Financing,Republic of Togo
449,11,Environment and natural resources management,Emergency Infrastructure Rehabilitation & Energy Project - Additional Financing,Republic of Togo
450,6,Social protection and risk management,LS- First Growth and Competitiveness DPG,Kingdom of Lesotho
451,2,Public sector governance,LS- First Growth and Competitiveness DPG,Kingdom of Lesotho
452,4,Financial and private sector development,LS- First Growth and Competitiveness DPG,Kingdom of Lesotho
453,1,Economic management,LS- First Growth and Competitiveness DPG,Kingdom of Lesotho
454,1,Economic management,Second Governance and Competitiveness Development Policy Operation,Democratic Republic of Sao Tome and Prin
455,4,Financial and private sector development,Second Governance and Competitiveness Development Policy Operation,Democratic Republic of Sao Tome and Prin
456,2,Public sector governance,Second Governance and Competitiveness Development Policy Operation,Democratic Republic of Sao Tome and Prin
457,10,Rural development,Second Governance and Competitiveness Development Policy Operation,Democratic Republic of Sao Tome and Prin
458,1,Economic management,Second Governance and Competitiveness Development Policy Operation,Democratic Republic of Sao Tome and Prin
459,8,Human development,"Fostering Innovation through Research, Science and Technology (FIRST)",Socialist Republic of Vietnam
460,9,,"Fostering Innovation through Research, Science and Technology (FIRST)",Socialist Republic of Vietnam
461,8,Human development,North East and Red River Delta Regions Health System Support Project,Socialist Republic of Vietnam
462,2,,North East and Red River Delta Regions Health System Support Project,Socialist Republic of Vietnam
463,11,Environment and natural resources management,Ningbo Municipal Solid Waste Minimization and Recycling Project,People's Republic of China
464,11,Environment and natural resources management,Ningbo Municipal Solid Waste Minimization and Recycling Project,People's Republic of China
465,8,Human development,Punjab Health Sector Reform Project,Islamic Republic of Pakistan
466,8,Human development,Punjab Health Sector Reform Project,Islamic Republic of Pakistan
467,8,Human development,Punjab Health Sector Reform Project,Islamic Republic of Pakistan
468,8,Human development,Punjab Health Sector Reform Project,Islamic Republic of Pakistan
469,8,Human development,Punjab Health Sector Reform Project,Islamic Republic of Pakistan
470,11,Environment and natural resources management,Guangxi Laibin Water Environment Project,People's Republic of China
471,9,,Guangxi Laibin Water Environment Project,People's Republic of China
472,11,Environment and natural resources management,LA-Scaling-Up Participatory Sustainable Forest Management,Lao People's Democratic Republic
473,11,Environment and natural resources management,LA-Scaling-Up Participatory Sustainable Forest Management,Lao People's Democratic Republic
474,11,Environment and natural resources management,LA-Scaling-Up Participatory Sustainable Forest Management,Lao People's Democratic Republic
475,2,Public sector governance,PSG: Integrated Ecosystems Management,Republic of Niger
476,11,Environment and natural resources management,PSG: Integrated Ecosystems Management,Republic of Niger
477,11,Environment and natural resources management,PSG: Integrated Ecosystems Management,Republic of Niger
478,10,Rural development,PSG: Integrated Ecosystems Management,Republic of Niger
479,10,Rural development,PSG: Integrated Ecosystems Management,Republic of Niger
480,5,Trade and integration,West Africa Regional Communications Infrastructure Project - APL 2,Africa
481,4,Financial and private sector development,West Africa Regional Communications Infrastructure Project - APL 2,Africa
482,4,Financial and private sector development,West Africa Regional Communications Infrastructure Project - APL 2,Africa
483,5,Trade and integration,West Africa Regional Communications Infrastructure Project - APL 2,Africa
484,8,Human development,Liberia Health Systems Strengthening,Republic of Liberia
485,8,Human development,Liberia Health Systems Strengthening,Republic of Liberia
486,2,,Lusaka Transmission and Distribution Rehabilitation Project,Republic of Zambia
487,5,Trade and integration,Liberia  Accelerated Electricity Expansion Project (LACEEP),Republic of Liberia
488,4,Financial and private sector development,Liberia  Accelerated Electricity Expansion Project (LACEEP),Republic of Liberia
489,2,Public sector governance,Second Education Development Policy Loan,Kingdom of Morocco
490,8,Human development,Second Education Development Policy Loan,Kingdom of Morocco
491,2,Public sector governance,Second Education Development Policy Loan,Kingdom of Morocco
492,7,Social dev/gender/inclusion,Sustainable livelihoods for displaced and vulnerable communities in Eastern Sudan,Republic of the Sudan
493,3,,Sustainable livelihoods for displaced and vulnerable communities in Eastern Sudan,Republic of the Sudan
494,4,Financial and private sector development,Malawi Economic Recovery Development Policy Operation 1,Republic of Malawi
495,6,Social protection and risk management,Malawi Economic Recovery Development Policy Operation 1,Republic of Malawi
496,2,Public sector governance,Malawi Economic Recovery Development Policy Operation 1,Republic of Malawi
497,1,Economic management,Malawi Economic Recovery Development Policy Operation 1,Republic of Malawi
498,5,Trade and integration,Lao PDR Customs and Trade Facilitation Project - Additional Financing,Lao People's Democratic Republic
499,6,Social protection and risk management,Lao PDR Customs and Trade Facilitation Project - Additional Financing,Lao People's Democratic Republic
500,2,Public sector governance,Lao PDR Customs and Trade Facilitation Project - Additional Financing,Lao People's Democratic Republic
501,2,Public sector governance,Lao PDR Customs and Trade Facilitation Project - Additional Financing,Lao People's Democratic Republic
502,2,Public sector governance,NIGER COMMUNITY ACTION PROGRAM PHASE 3,Republic of Niger
503,11,Environment and natural resources management,NIGER COMMUNITY ACTION PROGRAM PHASE 3,Republic of Niger
504,11,Environment and natural resources management,NIGER COMMUNITY ACTION PROGRAM PHASE 3,Republic of Niger
505,10,Rural development,NIGER COMMUNITY ACTION PROGRAM PHASE 3,Republic of Niger
506,10,Rural development,NIGER COMMUNITY ACTION PROGRAM PHASE 3,Republic of Niger
507,2,Public sector governance,PNPM Justice Services,Republic of Indonesia
508,3,Rule of law,PNPM Justice Services,Republic of Indonesia
509,3,Rule of law,PNPM Justice Services,Republic of Indonesia
510,7,Social dev/gender/inclusion,GZ-Second Municipal Development Project,West Bank and Gaza
511,11,Environment and natural resources management,GZ-Second Municipal Development Project,West Bank and Gaza
512,9,Urban development,GZ-Second Municipal Development Project,West Bank and Gaza
513,9,Urban development,GZ-Second Municipal Development Project,West Bank and Gaza
514,8,Human development,WBG - PRDP Support V,West Bank and Gaza
515,6,Social protection and risk management,WBG - PRDP Support V,West Bank and Gaza
516,2,Public sector governance,WBG - PRDP Support V,West Bank and Gaza
517,2,Public sector governance,WBG - PRDP Support V,West Bank and Gaza
518,2,Public sector governance,WBG - PRDP Support V,West Bank and Gaza
519,11,Environment and natural resources management,MENA- Desert Ecosystems and Livelihoods Knowledge Sharing and Coordination Project,Middle East and North Africa
520,11,Environment and natural resources management,MENA- Desert Ecosystems and Livelihoods Knowledge Sharing and Coordination Project,Middle East and North Africa
521,11,Environment and natural resources management,MENA- Desert Ecosystems and Livelihoods Knowledge Sharing and Coordination Project,Middle East and North Africa
522,10,Rural development,MENA- Desert Ecosystems and Livelihoods Knowledge Sharing and Coordination Project,Middle East and North Africa
523,11,Environment and natural resources management,MENA- Desert Ecosystems and Livelihoods Knowledge Sharing and Coordination Project,Middle East and North Africa
524,6,Social protection and risk management,BF-Youth Employment & Skills Development,Burkina Faso
525,8,Human development,BF-Youth Employment & Skills Development,Burkina Faso
526,10,Rural development,IRRIGATION SYSTEM ENHANCEMENT PROJECT,Republic of Armenia
527,10,Rural development,IRRIGATION SYSTEM ENHANCEMENT PROJECT,Republic of Armenia
528,11,Environment and natural resources management,IRRIGATION SYSTEM ENHANCEMENT PROJECT,Republic of Armenia
529,4,Financial and private sector development,Energy Efficiency Project,Republic of Kazakhstan
530,11,Environment and natural resources management,Energy Efficiency Project,Republic of Kazakhstan
531,10,Rural development,Uganda Energy for Rural Transformation IPF Phase2 Additional Financing,Republic of Uganda
532,4,,Uganda Energy for Rural Transformation IPF Phase2 Additional Financing,Republic of Uganda
533,5,Trade and integration,Southern Africa Trade and Transport Facilitation Project,Africa
534,5,Trade and integration,Southern Africa Trade and Transport Facilitation Project,Africa
535,9,Urban development,Southern Africa Trade and Transport Facilitation Project,Africa
536,8,Human development,Southern Africa Trade and Transport Facilitation Project,Africa
537,6,Social protection and risk management,Improving Maternal and Child Health through Integrated Social Services,Republic of Haiti
538,8,Human development,Improving Maternal and Child Health through Integrated Social Services,Republic of Haiti
539,6,Social protection and risk management,Improving Maternal and Child Health through Integrated Social Services,Republic of Haiti
540,8,Human development,Improving Maternal and Child Health through Integrated Social Services,Republic of Haiti
541,8,Human development,Improving Maternal and Child Health through Integrated Social Services,Republic of Haiti
542,6,Social protection and risk management,Haiti Business Development and Investment Project,Republic of Haiti
543,4,Financial and private sector development,Haiti Business Development and Investment Project,Republic of Haiti
544,4,Financial and private sector development,Haiti Business Development and Investment Project,Republic of Haiti
545,7,Social dev/gender/inclusion,Development Policies for the State of Sergipe,Federative Republic of Brazil
546,2,Public sector governance,Development Policies for the State of Sergipe,Federative Republic of Brazil
547,8,Human development,Development Policies for the State of Sergipe,Federative Republic of Brazil
548,10,Rural development,Development Policies for the State of Sergipe,Federative Republic of Brazil
549,8,Human development,Development Policies for the State of Sergipe,Federative Republic of Brazil
550,6,Social protection and risk management,Cash Transfer Program for Vulnerable Children in Northern Togo,Republic of Togo
551,8,Human development,Cash Transfer Program for Vulnerable Children in Northern Togo,Republic of Togo
552,6,Social protection and risk management,Social Promotion And Protection Project,Lebanese Republic
553,6,Social protection and risk management,Social Promotion And Protection Project,Lebanese Republic
554,6,Social protection and risk management,Social Promotion And Protection Project,Lebanese Republic
555,6,Social protection and risk management,Social Promotion And Protection Project,Lebanese Republic
556,2,Public sector governance,Yemen Public Finance Modernization Project - Additional Financing,Republic of Yemen
557,2,Public sector governance,Yemen Public Finance Modernization Project - Additional Financing,Republic of Yemen
558,2,Public sector governance,Yemen Public Finance Modernization Project - Additional Financing,Republic of Yemen
559,4,Financial and private sector development,Burkina Faso  Donsin Transport Infrastructure Project,Burkina Faso
560,5,Trade and integration,Burkina Faso  Donsin Transport Infrastructure Project,Burkina Faso
561,8,Human development,Nepal: School Sector Reform Program Additional Financing,Nepal
562,11,,Nepal: School Sector Reform Program Additional Financing,Nepal
563,11,Environment and natural resources management,Sustainable Financing for Biodiversity Conservation and Natural Resources Management,Kingdom of Bhutan
564,7,Social dev/gender/inclusion,Sustainable Financing for Biodiversity Conservation and Natural Resources Management,Kingdom of Bhutan
565,11,Environment and natural resources management,Sustainable Financing for Biodiversity Conservation and Natural Resources Management,Kingdom of Bhutan
566,11,Environment and natural resources management,Sustainable Financing for Biodiversity Conservation and Natural Resources Management,Kingdom of Bhutan
567,11,Environment and natural resources management,Kali Gandaki A Hydropower Plant Rehabilitation Project (KGAHPRP),Nepal
568,11,Environment and natural resources management,Kali Gandaki A Hydropower Plant Rehabilitation Project (KGAHPRP),Nepal
569,11,Environment and natural resources management,Kali Gandaki A Hydropower Plant Rehabilitation Project (KGAHPRP),Nepal
570,9,Urban development,India Low-Income Housing Finance,Republic of India
571,2,Public sector governance,India Low-Income Housing Finance,Republic of India
572,4,Financial and private sector development,India Second Kerala State Transport Project,Republic of India
573,10,Rural development,India Second Kerala State Transport Project,Republic of India
574,8,Human development,India Second Kerala State Transport Project,Republic of India
575,8,Human development,Integration of Children with Disabilities into Mainstream Schools,Republic of Moldova
576,8,Human development,Integration of Children with Disabilities into Mainstream Schools,Republic of Moldova
577,2,Public sector governance,Quality of Decentralized Service Delivery Support Development Policy Operation,Republic of Rwanda
578,2,Public sector governance,Quality of Decentralized Service Delivery Support Development Policy Operation,Republic of Rwanda
579,2,Public sector governance,Quality of Decentralized Service Delivery Support Development Policy Operation,Republic of Rwanda
580,7,Social dev/gender/inclusion,Quality of Decentralized Service Delivery Support Development Policy Operation,Republic of Rwanda
581,2,Public sector governance,Quality of Decentralized Service Delivery Support Development Policy Operation,Republic of Rwanda
582,4,Financial and private sector development,Vietnam Inclusive Innovation Project,Socialist Republic of Vietnam
583,5,Trade and integration,Vietnam Inclusive Innovation Project,Socialist Republic of Vietnam
584,5,Trade and integration,China: Jiangxi Shangrao Sanqingshan Airport Project,People's Republic of China
585,9,Urban development,China: Jiangxi Shangrao Sanqingshan Airport Project,People's Republic of China
586,11,Environment and natural resources management,AF - Clean-up & Land Reclamation Project,Republic of Kosovo
587,11,Environment and natural resources management,AF - Clean-up & Land Reclamation Project,Republic of Kosovo
588,11,Environment and natural resources management,AF - Clean-up & Land Reclamation Project,Republic of Kosovo
589,7,Social dev/gender/inclusion,ID-TF PNPM Disabled Persons Organisations Program,Republic of Indonesia
590,2,,ID-TF PNPM Disabled Persons Organisations Program,Republic of Indonesia
591,2,Public sector governance,Governance II,Democratic Republic of the Congo
592,2,Public sector governance,Governance II,Democratic Republic of the Congo
593,2,Public sector governance,Governance II,Democratic Republic of the Congo
594,11,Environment and natural resources management,Zambia Strengthening Climate Resilience (PPCR Phase II),Republic of Zambia
595,6,Social protection and risk management,Zambia Strengthening Climate Resilience (PPCR Phase II),Republic of Zambia
596,6,Social protection and risk management,Zambia Strengthening Climate Resilience (PPCR Phase II),Republic of Zambia
597,9,Urban development,DRC Urban  Development Project FY13,Democratic Republic of the Congo
598,9,Urban development,DRC Urban  Development Project FY13,Democratic Republic of the Congo
599,5,Trade and integration,Fourth East West Highway Improvement Project,Georgia
600,2,Public sector governance,Fourth East West Highway Improvement Project,Georgia
601,5,Trade and integration,Fourth East West Highway Improvement Project,Georgia
602,10,Rural development,Competitiveness and Enterprise Development Project (CEDP),Republic of Uganda
603,11,Environment and natural resources management,Competitiveness and Enterprise Development Project (CEDP),Republic of Uganda
604,4,Financial and private sector development,Competitiveness and Enterprise Development Project (CEDP),Republic of Uganda
605,4,Financial and private sector development,Competitiveness and Enterprise Development Project (CEDP),Republic of Uganda
606,5,Trade and integration,Competitiveness and Enterprise Development Project (CEDP),Republic of Uganda
607,2,Public sector governance,Additional Finaning of Public Procurement Reform Project II,People's Republic of Bangladesh
608,2,Public sector governance,Additional Finaning of Public Procurement Reform Project II,People's Republic of Bangladesh
609,7,Social dev/gender/inclusion,Additional Finaning of Public Procurement Reform Project II,People's Republic of Bangladesh
610,2,Public sector governance,Public Accounting Certification Training,"Macedonia, former Yugoslav Republic of"
611,6,,Public Accounting Certification Training,"Macedonia, former Yugoslav Republic of"
612,8,Human development,ID-TF NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREAS HEALTHY AND BRIGHT GENERATION (PNPM GENERASI),Republic of Indonesia
613,8,Human development,ID-TF NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREAS HEALTHY AND BRIGHT GENERATION (PNPM GENERASI),Republic of Indonesia
614,8,Human development,ID-TF NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREAS HEALTHY AND BRIGHT GENERATION (PNPM GENERASI),Republic of Indonesia
615,8,Human development,ID-TF NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREAS HEALTHY AND BRIGHT GENERATION (PNPM GENERASI),Republic of Indonesia
616,7,Social dev/gender/inclusion,ID-TF NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREAS HEALTHY AND BRIGHT GENERATION (PNPM GENERASI),Republic of Indonesia
617,6,Social protection and risk management,Kyrgyz Second Health and Social Protection Project,Kyrgyz Republic
618,8,Human development,Kyrgyz Second Health and Social Protection Project,Kyrgyz Republic
619,6,Social protection and risk management,Kyrgyz Second Health and Social Protection Project,Kyrgyz Republic
620,8,Human development,Kyrgyz Second Health and Social Protection Project,Kyrgyz Republic
621,8,Human development,Kyrgyz Second Health and Social Protection Project,Kyrgyz Republic
622,7,Social dev/gender/inclusion,Add. Fin. - Third Water Supply and Sanitation for Low Income Communities (Community Based Water Supply/PAMSIMAS II),Republic of Indonesia
623,10,Rural development,Add. Fin. - Third Water Supply and Sanitation for Low Income Communities (Community Based Water Supply/PAMSIMAS II),Republic of Indonesia
624,7,Social dev/gender/inclusion,ZR SUPPORT TO BASIC EDUCATION PROGRAM,Democratic Republic of the Congo
625,8,Human development,ZR SUPPORT TO BASIC EDUCATION PROGRAM,Democratic Republic of the Congo
626,8,Human development,National AIDS Control Support Project,Republic of India
627,8,Human development,National AIDS Control Support Project,Republic of India
628,6,Social protection and risk management,Skills Development for Growth Project,Republic of Niger
629,8,Human development,Skills Development for Growth Project,Republic of Niger
630,7,Social dev/gender/inclusion,Skills Development for Growth Project,Republic of Niger
631,11,Environment and natural resources management,Sustainable Coffee Landscape Project,Republic of Burundi
632,11,Environment and natural resources management,Sustainable Coffee Landscape Project,Republic of Burundi
633,11,Environment and natural resources management,Sustainable Coffee Landscape Project,Republic of Burundi
634,5,Trade and integration,Sustainable Coffee Landscape Project,Republic of Burundi
635,11,Environment and natural resources management,Sustainable Coffee Landscape Project,Republic of Burundi
636,6,Social protection and risk management,Emergency Safety Nets project (Jigis&#233;m&#233;jiri),Republic of Mali
637,8,Human development,Emergency Safety Nets project (Jigis&#233;m&#233;jiri),Republic of Mali
638,8,Human development,Emergency Safety Nets project (Jigis&#233;m&#233;jiri),Republic of Mali
639,6,Social protection and risk management,Emergency Safety Nets project (Jigis&#233;m&#233;jiri),Republic of Mali
640,8,Human development,Enhancing Education Development Project,Republic of Maldives
641,8,Human development,Enhancing Education Development Project,Republic of Maldives
642,5,Trade and integration,Second Shared Growth Credit,Republic of Niger
643,2,Public sector governance,Second Shared Growth Credit,Republic of Niger
644,6,Social protection and risk management,Second Shared Growth Credit,Republic of Niger
645,2,Public sector governance,Second Shared Growth Credit,Republic of Niger
646,10,Rural development,Second Shared Growth Credit,Republic of Niger
647,1,Economic management,LAOSTAT-STRENGTHENING THE NATIONAL STATISTICAL SYSTEM PROJECT,Lao People's Democratic Republic
648,1,Economic management,LAOSTAT-STRENGTHENING THE NATIONAL STATISTICAL SYSTEM PROJECT,Lao People's Democratic Republic
649,2,Public sector governance,LAOSTAT-STRENGTHENING THE NATIONAL STATISTICAL SYSTEM PROJECT,Lao People's Democratic Republic
650,9,Urban development,Danang Sustainable City Development Project (SCDP),Socialist Republic of Vietnam
651,11,Environment and natural resources management,Danang Sustainable City Development Project (SCDP),Socialist Republic of Vietnam
652,11,Environment and natural resources management,Danang Sustainable City Development Project (SCDP),Socialist Republic of Vietnam
653,4,Financial and private sector development,Second Science & Technology Project,Republic of Croatia
654,5,Trade and integration,Second Science & Technology Project,Republic of Croatia
655,11,Environment and natural resources management,Jordan Ozone Depleting Substances HCFC Phase-Out Project (ODS3),Hashemite Kingdom of Jordan
